date,mean_temp,max_temp,min_temp,dew_point,avg_humidity,max_humidity,min_humidity,precipitation,sea_level_pressure,wind_speed,max_wind_speed,visibility
2013-10-01,10,14,6,9,90,100,67,0.0,1010.67,2,7,8.1
2013-10-10,14,16,11,12,93,100,82,0.0,1010.69,3,15,6.1
2013-10-11,10,15,5,9,86,100,59,0.0,1012.35,9,17,9.4
2013-10-12,8,12,4,8,96,100,88,0.0,1019.71,4,11,8.6
2013-10-13,12,18,6,9,89,100,56,0.0,1021.65,3,7,8.9
2013-10-14,8,13,4,7,95,100,82,0.0,1021.29,2,6,7.5
2013-10-15,12,18,5,8,85,100,59,0.0,1015.29,4,18,8.8
2013-10-16,12,18,7,6,70,94,30,0.0,1008.65,5,18,10.0
2013-10-17,9,18,0,3,74,93,37,0.0,1015.58,4,13,10.0
2013-10-18,10,18,1,5,84,100,42,0.0,1017.81,2,7,9.1
2013-10-19,10,17,2,6,84,100,59,0.0,1022.60,2,9,10.0
2013-10-02,12,15,8,6,76,94,55,0.0,1018.73,5,20,9.5
2013-10-20,12,18,6,9,83,100,64,0.0,1023.40,8,15,10.0
2013-10-21,14,18,10,13,94,100,83,0.0,1022.65,3,11,9.2
2013-10-22,14,19,10,12,89,100,73,0.0,1020.77,5,20,9.6
2013-10-23,16,19,12,13,85,100,73,0.0,1019.50,5,13,10.0
2013-10-24,14,17,12,13,96,100,88,0.0,1021.15,2,7,8.7
2013-10-25,15,20,10,13,89,100,60,0.0,1021.77,3,15,5.1
2013-10-26,15,21,9,11,86,100,60,0.0,1021.65,4,13,10.0
2013-10-27,13,19,7,10,85,100,64,0.0,1019.40,4,18,9.4
2013-10-28,17,20,14,13,79,100,68,0.0,1016.06,5,17,10.0
2013-10-29,16,20,12,13,88,100,68,0.0,1015.56,5,17,10.0
2013-10-03,8,10,7,3,71,81,58,0.0,1027.77,7,15,10.0
2013-10-30,12,14,10,10,88,100,77,0.0,1022.08,5,11,10.0
2013-10-31,12,14,9,8,84,100,59,0.0,1026.21,2,7,10.0
2013-10-04,8,11,4,2,69,93,47,0.0,1029.32,3,9,10.0
2013-10-05,6,9,3,5,88,100,71,0.0,1023.62,1,4,10.0
2013-10-06,10,15,6,8,86,100,72,0.0,1023.13,1,6,8.9
2013-10-07,12,14,11,10,89,100,72,0.0,1025.75,2,7,7.6
2013-10-08,14,16,11,10,85,100,63,0.0,1025.08,2,9,9.3
2013-10-09,12,15,9,10,89,100,72,0.0,1019.92,2,4,6.5
2013-11-01,10,16,3,6,85,100,55,0.0,1021.92,2,6,10.0
2013-11-10,6,8,5,5,93,100,76,0.0,1007.69,7,24,9.4
2013-11-11,9,11,7,-0,55,76,38,0.0,1015.06,17,35,10.0
2013-11-12,6,8,5,3,79,87,71,0.0,1025.35,3,6,10.0
2013-11-13,7,8,6,5,87,93,76,0.0,1024.27,1,7,9.5
2013-11-14,6,7,5,4,89,93,81,0.0,1020.65,2,7,8.3
2013-11-15,5,6,4,4,95,100,87,0.0,1022.21,3,11,8.6
2013-11-16,8,12,3,4,89,100,62,0.0,1027.00,3,9,9.2
2013-11-17,4,8,0,4,90,100,76,0.0,1023.96,2,7,8.8
2013-11-18,8,11,4,5,90,100,71,0.0,1017.98,1,6,8.0
2013-11-19,7,8,6,6,97,100,87,0.0,1008.31,3,7,3.5
2013-11-02,10,15,5,9,89,100,72,0.0,1015.54,3,11,10.0
2013-11-20,6,8,4,5,94,100,87,0.0,1002.38,4,11,7.3
2013-11-21,6,9,2,5,96,100,82,0.0,1000.69,4,15,4.9
2013-11-22,4,5,3,4,96,100,87,0.0,1002.33,4,7,7.6
2013-11-23,6,7,4,5,97,100,93,0.0,1002.85,4,7,7.3
2013-11-24,6,8,4,5,93,100,81,0.0,1006.96,3,9,8.7
2013-11-25,5,8,2,-10,37,100,24,0.0,1014.42,16,33,9.9
2013-11-26,2,5,-2,-13,34,59,22,0.0,1020.08,13,28,10.0
2013-11-27,-0,5,-6,-9,59,86,35,0.0,1025.40,5,13,10.0
2013-11-28,-2,5,-8,-7,75,93,42,0.0,1028.56,2,7,10.0
2013-11-29,-0,7,-8,-6,76,100,37,0.0,1022.81,2,7,10.0
2013-11-03,12,15,9,11,89,100,72,0.0,1008.96,7,17,9.7
2013-11-30,0,3,-3,-3,84,93,70,0.0,1017.77,3,11,9.4
2013-11-04,8,10,7,7,93,100,87,0.0,1005.83,5,11,8.5
2013-11-05,9,10,8,8,95,100,87,0.0,998.40,4,15,7.6
2013-11-06,8,11,4,6,94,100,82,0.0,1005.98,2,7,6.6
2013-11-07,8,11,5,6,95,100,82,0.0,1015.58,3,15,4.7
2013-11-08,12,14,9,10,91,100,82,0.0,1016.29,3,11,9.9
2013-11-09,12,16,6,11,93,100,82,0.0,1011.94,4,24,8.4
2013-12-01,1,7,-5,-4,81,100,49,0.0,1024.88,4,15,9.1
2013-12-10,4,11,-2,-1,87,100,54,0.0,1034.17,3,11,8.7
2013-12-11,3,7,-1,1,90,100,81,0.0,1035.37,1,7,10.0
2013-12-12,0,3,-3,-0,93,100,87,0.0,1032.10,1,6,6.2
2013-12-13,-2,-1,-3,-2,99,100,93,0.0,1026.52,2,4,0.3
2013-12-14,-2,-2,-3,-3,97,100,93,0.0,1027.50,2,6,0.5
2013-12-15,-2,-2,-3,-3,97,100,93,0.0,1034.00,2,6,1.2
2013-12-16,-3,-2,-4,-4,98,100,93,0.0,1035.62,1,4,0.5
2013-12-17,-4,-3,-5,-5,96,100,93,0.0,1033.52,1,4,0.3
2013-12-18,-5,-4,-6,-6,97,100,93,0.0,1027.48,2,7,0.9
2013-12-19,-2,2,-6,-3,96,100,93,0.0,1021.60,4,9,4.7
2013-12-02,2,9,-6,-5,81,100,46,0.0,1030.23,5,11,n/a
2013-12-20,2,7,-3,0,94,100,81,0.0,1026.02,5,13,7.7
2013-12-21,3,5,1,3,99,100,93,0.0,1034.44,2,6,3.9
2013-12-22,6,9,2,5,93,100,82,0.0,1029.54,3,18,6.0
2013-12-23,5,9,1,5,96,100,82,0.0,1024.81,2,7,7.3
2013-12-24,8,10,6,5,87,100,66,0.0,1018.94,4,11,9.7
2013-12-25,8,10,7,6,86,93,76,0.0,1008.38,4,13,10.0
2013-12-26,8,10,7,7,88,93,76,0.0,998.08,8,17,9.8
2013-12-27,8,9,6,6,93,100,76,0.0,1008.90,5,13,10.0
2013-12-28,4,6,2,3,99,100,93,0.0,1014.62,2,7,2.0
2013-12-29,6,8,4,5,96,100,87,0.0,1017.58,3,17,5.8
2013-12-03,0,6,-6,-5,83,100,53,0.0,1032.62,3,7,10.0
2013-12-30,4,5,3,3,95,100,81,0.0,1026.83,2,7,8.2
2013-12-31,4,4,3,3,96,100,87,0.0,1022.69,1,4,5.7
2013-12-04,-2,4,-8,-6,88,93,65,0.0,1024.79,2,7,7.4
2013-12-05,-2,5,-8,-5,87,100,61,0.0,1022.75,1,7,6.9
2013-12-06,0,8,-7,-4,85,100,57,0.0,1012.33,3,7,8.5
2013-12-07,0,6,-6,-4,87,100,49,0.0,1021.44,2,11,5.3
2013-12-08,-2,2,-7,-5,89,93,75,0.0,1027.27,2,6,9.4
2013-12-09,0,5,-4,-3,91,100,75,0.0,1027.31,2,11,8.2
2013-01-01,-0,3,-4,-3,94,100,75,0.0,1016.50,2,7,3.3
2013-01-10,3,8,-2,1,89,100,66,0.0,1011.08,3,9,9.3
2013-01-11,2,8,-3,-1,90,100,66,0.0,1008.85,2,13,8.8
2013-01-12,0,3,-3,-4,75,93,52,0.0,1015.77,5,11,10.0
2013-01-13,-1,0,-2,-3,90,100,80,0.0,1014.00,2,7,6.0
2013-01-14,-2,-1,-3,-3,94,100,86,0.0,1011.15,2,6,2.8
2013-01-15,-1,0,-2,-2,95,100,87,0.0,1008.55,2,6,2.5
2013-01-16,-2,0,-3,-2,96,100,93,0.0,1000.48,3,7,2.3
2013-01-17,-0,2,-3,-2,95,100,81,0.0,1000.27,2,7,5.4
2013-01-18,-2,0,-3,-2,94,100,87,0.0,1000.50,3,9,6.1
2013-01-19,-2,0,-3,-2,94,100,80,0.0,999.71,1,7,5.3
2013-01-02,2,4,0,1,94,100,81,0.0,1021.92,4,11,6.5
2013-01-20,1,2,0,0,96,100,87,0.0,997.73,4,13,2.3
2013-01-21,2,4,0,1,98,100,93,0.0,994.71,2,7,1.0
2013-01-22,2,3,0,1,97,100,87,0.0,1001.54,1,4,3.7
2013-01-23,1,4,-2,-0,96,100,81,0.0,1006.89,2,9,3.5
2013-01-24,0,2,-1,0,97,100,93,0.0,1003.17,3,9,5.9
2013-01-25,-2,1,-4,-4,83,100,70,0.0,1009.17,5,18,9.7
2013-01-26,-4,1,-9,-8,78,93,52,0.0,1013.63,6,17,8.8
2013-01-27,-5,1,-11,-8,81,93,56,0.0,1013.96,2,11,6.8
2013-01-28,-1,3,-5,-3,87,100,65,0.0,1014.23,2,7,8.3
2013-01-29,2,6,-3,-1,85,100,61,0.0,1020.25,1,7,7.4
2013-01-03,2,6,-2,1,96,100,81,0.0,1032.15,2,7,4.3
2013-01-30,1,6,-4,-3,86,100,66,0.0,1017.40,3,7,9.0
2013-01-31,2,9,-5,-2,85,100,58,0.0,1017.02,4,9,8.4
2013-01-04,0,3,-2,-1,97,100,93,0.0,1027.44,2,9,8.9
2013-01-05,7,16,-2,-1,67,100,25,0.0,1019.60,5,20,9.3
2013-01-06,4,9,-1,0,89,100,66,0.0,1020.56,3,7,10.0
2013-01-07,0,2,-2,-0,97,100,93,0.0,1023.06,3,15,4.9
2013-01-08,1,4,-2,-1,91,100,70,0.0,1025.02,2,6,9.9
2013-01-09,2,6,-1,0,91,100,76,0.0,1020.60,2,7,9.1
2013-02-01,-2,3,-6,-3,88,100,75,0.0,1009.81,4,11,9.1
2013-02-10,-6,0,-11,-6,91,100,69,0.0,1011.90,2,7,5.0
2013-02-11,-8,-3,-13,-8,92,100,85,0.0,1008.39,1,6,3.9
2013-02-12,-3,1,-7,-3,93,100,80,0.0,1005.25,3,6,3.2
2013-02-13,-3,1,-7,-4,95,100,93,0.0,1012.63,3,9,2.7
2013-02-14,1,4,-2,-1,92,100,70,0.0,1017.98,1,7,4.0
2013-02-15,0,3,-3,-1,95,100,75,0.0,1016.85,1,6,2.1
2013-02-16,2,6,-2,-1,91,100,70,0.0,1020.96,2,7,5.1
2013-02-17,2,4,-1,-1,88,100,65,0.0,1020.50,2,6,7.3
2013-02-18,0,4,-4,-2,84,93,65,0.0,1018.58,2,13,7.2
2013-02-19,-3,3,-9,-5,83,100,60,0.0,1014.23,2,11,8.0
2013-02-02,2,4,1,2,96,100,87,0.0,993.56,8,28,6.1
2013-02-20,-0,3,-4,-3,84,93,75,0.0,1014.04,4,17,9.5
2013-02-21,-2,0,-4,-5,79,93,60,0.0,1014.59,14,22,8.6
2013-02-22,-3,-1,-5,-5,89,100,75,0.0,1006.92,5,13,4.2
2013-02-23,-1,2,-4,-4,90,100,75,0.0,1003.90,2,7,4.2
2013-02-24,-0,1,-2,-1,98,100,93,0.0,1006.54,4,11,1.9
2013-02-25,1,3,-1,-0,97,100,87,0.0,1016.19,2,9,0.7
2013-02-26,2,4,-1,0,95,100,81,0.0,1019.58,3,7,2.0
2013-02-27,2,4,0,1,96,100,81,0.0,1022.81,1,7,2.4
2013-02-28,2,5,0,1,93,100,81,0.0,1024.73,1,4,3.7
2013-02-03,2,7,-3,-5,62,93,31,0.0,1008.08,10,33,10.0
2013-02-04,2,8,-3,-3,74,93,40,0.0,1014.63,3,11,10.0
